,title,company,salary,summary
0,Python-Django Developer,PST.AG,,"Write effective, scalable code in Python. Develop back-end components to improve responsiveness and overall performance. Improve code quality and process flows."
1,Junior Python Developer,Arvato Systems Malaysia Sdn. Bhd.,,"Design, develop, test, debug and documenting of applications to satisfy business requirements of projects. Provide technical consultation to the Business/System…"
2,Backend Developer,Abhidi Solution Private Limited,"RM 8,000 - RM 12,000 a month","The ideal candidate will possess a strong background in Development, Automation,Testing and. Learn and research on Application Security domain."
3,Python Developer,JP Associates,"RM 8,000 - RM 11,000 a month",Our German client is seeking experienced Python developers with the following. Minimum 3 years developing web application with Python.
4,Full Stack Python Developer,Bioquest Advisory,"RM 4,000 - RM 8,000 a month","As a Full Stack Python Developer, you will collaborate with clients to understand their requirements and develop custom web applications tailored to their needs…"
5,FULL STACK DEVELOPER,APPING TECHNOLOGY SDN BHD,"RM 3,000 - RM 13,000 a month",Collaborate on cross-functional teams to translate project requirements into captivating technical solutions with global impact.
6,Python Developer,KAALI HR SDN BHD,"RM 7,000 - RM 8,000 a month","Demonstrated experience in Web & API development using Python or PHP. Experience with *Linux Server, Nginx, Python (Flask/FastAPI), and Database systems like…"
7,Full Stack Python Developer,NodeFlair,,"Rest API ORM Git HTML NoSQL Angular JavaScript Flask SQL React Django Python CSS Vue.js. As a Full Stack Python Developer, you will collaborate with clients to…"
8,Front-End Web Developer Analyst,Accenture,,You will be involved in all aspects of website maintenance and updating coding work. This includes maintenance of the official website and production of…
9,Software Developer,Webgeaz Sdn. Bhd.,"RM 2,500 - RM 4,500 a month","Collaborate with other developers to create a system for the customer, either for project. Flexible Hours - Result-driven Company with work-life balance."
10,Python Developer,i3Matrix,,Experience in reviewing python code for running the troubleshooting test-cases and bug issues. Candidate should have 4-8 years of experience in scripting and…
11,Python Developer,Agensi Pekerjaan Humanix Sdn Bhd,"RM 8,000 - RM 13,000 a month",Write Python code for software applications. Collaborate with teams to add news features and fix issues. Follow coding standards and best practices.
12,Full Stack Developer,EachHire,"RM 10,000 - RM 15,000 a month","This individual will work across the entire development stack, taking ownership of projects from conception to deployment."
13,Front-End Developer,VFive Group Sdn Bhd,"RM 3,000 a month","Collaborate with back-end developers and designers to improve usability. Develop and maintain front-end components of web application using Java, JavaScript,…"
14,Python Developer,MSP Hitect SDN BHD,"RM 4,000 - RM 6,000 a month","Year of exp - 2-4 yrs. Work mode- Onsite role at Puchong. Apart from salary, client is providing excellent benefit package."
15,Full Stack Developer (Chat platforms),JP Caliber,"RM 10,000 a month","As a Full Stack Developer for our Chat Platform, you will be responsible for *designing, developing, and maintaining various components within our chat…"
16,Full Stack Developer (ReactJS/NodeJS/C#/Python) - Internship & Full time,LYJ Events & Marketing sdn. bhd.,,"Collaborate with Data scientist, UIUX team and Frontend/backend developers in order to develop an interactive and scalable web, mobile and desktop application."
17,Fullstack Developer,RinggitPlus,,RinggitPlus is looking for a Full Stack Developer to build and manage software for Malaysia’s leading personal finance aggregator.
18,AI Developer - Full Time,IMAGINE AI SDN BHD,"RM 3,200 - RM 4,000 a month","Design, build and develop new AI, Vision and/or Robotics software, solutions and/or applications. Design, build and develop and conduct maintenance of networks,…"
19,Python Web Developer,Agensi Pekerjaan Nixan Mega (M) Sdn Bhd,"RM 7,000 - RM 8,000 a month","Develop and scale Gigabit API which interacting with hardware & software using Python. Commit to excellence by drafting meticulous documentation, ensuring code…"
20,Python Developer Intern,ShopBack,,"1 - Review and analyze existing Python code to identify areas for improvement, efficiency, and maintainability."
21,Software Developer,EPS Ventures Sdn Bhd,"RM 4,000 - RM 8,000 a month","A software developer is a professional responsible for designing, developing, and testing computer software. Documentation: Write technical documents, including…"
22,Python Developer - Automation with Selenium,Henosis Sdn Bhd,"RM 4,500 - RM 7,000 a month","The ideal candidate should be enthusiastic, detail-oriented, and possess strong problem-solving abilities. In this role, you will be responsible for automating…"
23,Junior Software Developer,Verity Intelligence Sdn Bhd,"RM 2,000 - RM 3,000 a month","Work collaboratively with cross-functional teams, including product managers, QA engineers, and other developers to achieve project goals."
